Ward,Primary Type,Count
3,INTERFERENCE WITH PUBLIC OFFICER    ,566
3,INTIMIDATION        ,141
3,KIDNAPPING  ,142
3,LIQUOR LAW VIOLATION        ,218
3,MOTOR VEHICLE THEFT ,8296
3,NARCOTICS   ,27476
3,NON - CRIMINAL      ,2
3,NON-CRIMINAL        ,4
3,NON-CRIMINAL (SUBJECT SPECIFIED)    ,1
3,OBSCENITY   ,28
3,OFFENSE INVOLVING CHILDREN  ,1291
3,OTHER NARCOTIC VIOLATION    ,3
3,OTHER OFFENSE       ,11347
3,PROSTITUTION        ,3126
3,PUBLIC INDECENCY    ,7
3,PUBLIC PEACE VIOLATION      ,1044
3,ROBBERY     ,8849
3,SEX OFFENSE ,642
3,STALKING    ,120
3,THEFT       ,32968
3,WEAPONS VIOLATION   ,2803
30,ARSON      ,293
30,ASSAULT    ,5786
30,BATTERY    ,16815
30,BURGLARY   ,6585
30,CONCEALED CARRY LICENSE VIOLATION  ,3
30,CRIM SEXUAL ASSAULT        ,357
30,CRIMINAL DAMAGE    ,11789
30,CRIMINAL SEXUAL ASSAULT    ,47
30,CRIMINAL TRESPASS  ,1864
30,DECEPTIVE PRACTICE ,3324
30,GAMBLING   ,40
